Source,Target,Type,Count
8,9,Directed,1
9,1,Directed,1
9,10,Directed,2
9,11,Directed,6
9,16,Directed,11
9,19,Directed,1
9,2,Directed,1
9,21,Directed,13
9,25,Directed,1
9,30,Directed,11
9,33,Directed,1
9,6,Directed,1
