story_num,story_version,abstract,variant_group
15,s15,Ill-treated heroine (by step-mother) from lime-tree queen -- Magic dresses -- Meeting-place (church) -- Threefold flight--Lost shoe--Shoe marriage test--Mutilated foot-- Animal witness (birds)--Happy marriage.,A
16,s16,"Ill-treated heroine (by step-mother and step-sisters)-Menial heroine nicknamed ""the Black Girl ""--Task (grain-sorting)-- Task-performing animals (doves)--Magic dresses (provided by doves)--Meeting-place (ball)--Threefold flight--Pitch-trap Lost shoe--Shoe marriage test--Mutilated foot--Animal witness (doves)--Happy marriage--Villain Nemesis.",A
20,s20,"Ill-treated heroine (by elder sisters) leaves home to take service--Fairy aid--Menial heroine called ""Conza-Senare"" at palace by prince--Magic dresses procured by means of fairy wand--Meeting-place (ball)--Three-fold flight--Sand and money and lastly shoe thrown at pursuers--(Prince has struck heroine with tongs, but token object is not named at ball)--lovesick prince--Recognition food--Happy marriage.",A
21,s21,"Ill-treated heroine (by step-mother) -- Slaying of helpful animal (calf)--Magic wand for heroine in entrails of calf, which whilst she washes them, are carried away by stream--Heroine taken to hut, which she tidies for old woman, then cooks dinner. Then old woman sends her to sleep, restores calf's entrails, and gives her star on brow--Step-mother covers star with rag-- Envious step-sister wants to get same, but refuses to tidy hut, and is punished with turkey-cock's crest on brow. Step-mother covers it with silk kerchief--Magic dresses and equipage produced by means of wand--Meeting-place (ball)--Flight--Lost shoe--Shoe marriage test--Heroine hidden under kneading-trough -- animal witness (dog)--Happy marriage.",A
22,s22,"Ill-treated heroine (by step-mother and step-sisters)-- menial heroine, nick-named Cinder-brat--Midwife aid--Transformation of pumpkin, rats, and caterpillars, into chariot, horses, coachman, and footmen for heroine--Magic dresses by means of midwife's wand--Meeting-place (ball). Heroine must leave before midnight--Twofold flight. Heroine detained past midnight at second ball. Magic dresses become rags--Lost shoe (no longer golden, but shabby and very small)--Shoe marriage test-- Happy marriage.",A
23,s23,"Ill-treated heroine (by elder sisters)--Menial heroine (called ""Cenorientola"")--Gifts chosen by three daughters from father. Bird, promised to heroine, forgotten by father whose boat will not move till he gets it-- helpful animal (bird)--Magic dresses-- Meeting-place (ball)--Three-fold flight--Lost shoe (golden)-- Shoe marriage test--Happy marriage.",A
24,s24,"Widow seeks marriage with father of heroine, whom she instructs with own daughter--Ill-treated heroine--Menial heroine (called "" Maria"") tends cow (called "" Vaccarella"")--Tasks, (1) spinning, (2) weaving, (3) shirt -- Task-performing a (cow) assumes form of woman to make shirt--Spy on heroine--Slaying of helpful animal--Golden ball under heart of helpful animal gives magic help--Magic dresses--Meeting-place (church)--Three-fold flight--Lost shoe--Heroine made to clean barrel: step-sister takes her place inside barrel--Shoe marriage test--Happy marriage--Step-sister scalded to death by mistake. Step-mother sets up corpse on stairs as though living: father throws wood at it. Villain Nemesis--Father takes infant daughter and deserts wife.",A
25,s25,"Ill-treated heroine (by step-mother)--Helpful animal (cow), gives milk -- Slaying of helpful animal -- Revivified bones --Eating taboo--Magic dresses--Meeting-place (palace)--Flight (? threefold)--Lost shoe--Heroine hides ii granary--Animal witness (cock)--Happy marriage--Villain Nemesis.",A
26,s26,"Ill-treated heroine (by step-mother)--Menial heroine (minds sheep)--Helpful animal--Henwife, consulted by step-mother, sends own daughter to spy on heroine, who sends her to Sled) by hair-dressing. Eye in back of spy's head sees sheep bring meat-- Slaying of helpful animal--Revivified bones--Henwife's daughter tells of prince's love for heroine; step-sister sent in her place to herd sheep. Heroine secretly receives gold shoes and rendezvous from prince--Meeting-place (sermon)--Threefold flight-- Lost shoe--Shoe marriage test--Mutilated foot--False bride-- Animal witness (bird)--Happy marriage.",A
27,s27,"Ill-treated heroine (by step-mother and step-sisters)-Hearth-abode-Menial heroine--Befriended by ""Cantrips"" or Trouble the House-- Magic dresses--Starlings three sit on either shoulder--Cantrips strikes rock and produces black steed--Meeting-place (church) --Flight (two-fold) shoe--Shoe marriage test--Heroine hidden under wash-tub--Happy Marriage--Milk and honey from heroine's finger-tips allay thirst of prince. ""Fair maid"" accompanies heroine as maid of honour, pushes her whilst bathing into lock where great beast ""Senselessness"" seizes her. Heroine comes up twice and questions herd-boy, third time is waylaid by prince, who slays monster. Birds sing for heroine alone. Steed weeps tears of blood for her.",A
28,s28,"Ill-treated heroine (by mother) -- Hearth-abode -- Menial heroine minds ducks--Task (spinning)--Old woman aid--Old woman lends heroine magic comb, which makes fall from her hair corn for ducks and jewels. Task performed by means of magic wand. Same things happen several days--Magic dresses provided by bird Verdirio given heroine by old woman--Meeting-place (ball)--Three-fold flight--Money and Shoe thrown to pursuers (lost shoe)--Prince fetches heroine from parents who, at first, refuse to show her. The jingling of hells on heroine's magic dress is mistaken for noise of fire-irons--Happy marriage-- Heroine gives presents to parents and sister.",A
29,s29,"Ill-treated heroine (by elder sisters)--Menial heroine--Hero loves eldest sister first--Henwife wears cloak of darkness; befriends heroine=""Trembling ""--Magic dresses, procured by clipping from old clothes--Hair clipt turns golden--Honey bird, honey finger, and magic steeds for heroine--Meeting-place (church); heroine must not go inside--Threefold flight--Lost shoe--Search for heroine by hero and other princes--Shoe marriage test-- Mutilated feet--Hero combats competitors for heroine--Happy marriage--Eldest sister, ""Fair"", visits heroine after birth of son; pushes her into sea, where whale swallows her-- Substituted bride detected by sword remaining cold--Heroine, thrown up three times by whale, sends tidings by cow-boy. Fair gives cow boy drink of oblivion, which he next time refuses, and tells hero, who shoots whale with silver bullet in vulnerable spot revealed by heroine. Speech taboo on heroine till this is done--Villain Nemesis--Cow-boy marries second child of hero and heroine.",A
30,s30,"Ill-treated heroine (by step-mother and step-sister) -- Menial heroine (herds cattle)--helpful animal (bull)--Ear cornucopia--Spy on heroine--Bull's flesh only cure for step-mother's feigned illness--Flight of heroine on bull--Bull carries heroine through copper, silver and gold-forests to castle. Heroine accidentally breaks off (1) copper leaf; (2) silver leaf, (3) gold apple, causing to appear trolls, (1) three-headed, (2) six-headed, (3) nine-headed, whom bull fights and kills. Ointment from horn in troll's belt cures bull's wounds-- bids heroine cut off his head, flay him, put copper and silver leaves, and gold apple in hide, lay it in rock, which will give what she wants when knocked with stick. Then go to pig-sty, don woodencloak of lath strips, call herself Katie Woodencloak, and take service as scullery-maid at castle-- Token object thrown, ([1] water, [2] towel, [3] comb)--Magic dresses--Meeting-place (church)--Threefold flight--(I) Prince secures heroine's glove--Pitch trap--Lost shoe (golden)--Shoe marriage test--Mutilated foot--False bride--Animal witness (bird)--Magic dress worn under husk--Happy marriage.",A
31,s31,"Old man warns girls spinning and cattle-tending against dropping spindle down cliff. Heroine drops hers, transforming mother into cow--Ill-treated heroine (by step-mother)--task, spinning.--Transformed mother help--Spy on heroine--Slaying of helpful animal--Eating taboo--Revivified bones--Help at grave--Menial heroine, called Papalluga--Task, grain-sorting-- Task-performing animals (birds)--Magic dress --meeting-place (church) -- Three-fold flight -- Lost shoe -- Shoe marriage test--Animal witness (cock), reveals heroine under wash trough--Happy marriage.",A
32,s32,"King loses kingdom and becomes forest-ranger. Ill-treated heroine and sisters (by step-mother)--Heroine and sisters, abandoned in the desert, find their way home by means of clue of thread. Second time heroine recommends trail of ashes (hence she is called Popelusa); these are scattered by gale. One-eyed giant carries them off; heroine plans his death. They live at giant's castle. Elder sisters go to palace where king is to choose bride. Heroine finds gold keys opening rooms containing Magic dresses--Meeting-place (town)--Twofold flight--Lost shoe--Shoe marriage test --Happy marriage--Heroine fetches father",A
33,s33,Ill-treated heroine (by sorceress-step-mother) -- Pig-sty abode--Neighbour advises heroine to visit mother's grave on three Thursday nights--Mother help at grave--Heroine advised by dead mother to go three Thursday nights and knock at hill; third time old woman comes out--Old woman aid--Magic dresses--Meeting-place (church)--Threefold flight--Lost shoe--Shoe marriage test--Mutilated foot --Animal witness (bird)--Happy marriage.,A
34,s34,"Ill-treated heroine (by step-mother)--Menial heroine, minds cow -- Tasks (spinning) -- Task-performing animal (cow) -- Slaying of helpful animal--Heroine begs for cow's paunch; washes it; finds ball inside, containing box which supplies Magic dresses--Meeting-place (church)--Heroine gives rings to step sister who places her chair--Two-fold flight--Money thrown to pursuers--Lost shoe--Shoe marriage test--Witness (neighbours)--Heroine to clean inside of tub; persuades step-sister to get in in her place. Step-mother boils own daughter by mistake: Villain Nemesis--Happy marriage.",A
35,s35,"Ill-treated heroine (by parents); herds cattle -- Helpful animal (red calf) takes her to house where food is spread. Spy on heroine--(Slaying of helpful animal proposed)--Sister holds calf: heroine beheads her instead--Heroine flight on calf-- Heroine disguise (rashin coatie) -- Menial heroine (kitchen- maid at palace)--Magic dresses provided by calf--Meeting-place (church) -- Flight--Lost shoe -- Shoe marriage test -- Mutilated foot (henwife's daughter's)--Animal witness (bird)-- Prince enters his own kitchen; recognises ""Rashin coatie""-- Happy marriage--House built for red calf.",A
36,s36,Outcast heroine (by elder sisters for having buried horse's head)--Menial heroine (servant at palace)--Help in dream-- Heroine dreams of treasure-oak --Magic dresses--Meeting-place (church)--Threefold flight -- Pitch trap--Lost shoe -- Shoe marriage test--Happy marriage.,A
37,s37,"Ill-treated heroine (by step-mother and step-sisters) -- Hearth-abode -- Gifts chosen by three daughters from father. Heroine chooses hazel-branch, and plants it on mother's grave.-- Help at grave--Task (grain sorting) -- Task-performing animals (birds)--Transformed mother help (bird on tree)-- Magic dresses -- Meeting-place (ball) -- Three-fold flight-- Heroine hides, (1) in pear-tree, (2) in pigeon-house, which are cut down by father--Pitch-trap--Lost shoe--Shoe marriage test-- Mutilated feet--False brides--Animal witness (birds)-- Happy marriage--Villain Nemesis.",A
38,s38,"Ill-treated heroine (by step-mother and step-sisters)--Hearth abode--Dead mother help (at grave)--Magic dresses and equipage from tree which opens at command--Bagful of mist thrown before and behind heroine's chariot--Meeting-place (church)--Heroine sits in step-mother's pew; step-sisters are squeezed to make room for her--Threefold flight--Prince sees heroine vanish like a shooting star into mist--Lost shoe-- Shoe marriage test--Mutilated feet--Animal witness (crow)-- Happy marriage --(Villain Nemesis). Step-sisters grow yellow and grey with jealousy, and cry their eyes red, so that none court them.",A
39,s39,"Ill-treated heroine (by mother) -- Menial heroine (milks cows)--Helpful animal (cat) asks for milk--Heroine, thrashed for having given it, fears to do so third time. Cat promises reward; drinks milk, swells, and pushes off skin which heroine must wear -- Heroine disguise (cat-skin) -- Menial heroine (kitchen-maid at palace)--Magic dresses, etc., from cat--Meeting-place (church) -- (Two-fold flight) -- Lost shoe -- Shoe marriage test -- Mutilated feet -- Animal witness (bird) -- Happy marriage--Cat's head cut off and buried beneath pear tree. Cat transformed to prince, who is brother to king.",A
40,s40,"Ill-treated heroine (by step-mother)--Menial heroine--Dog aid. Dog will do her work if heroine will promise him her two sons -- Magic dresses --Meeting-place (church)-- (1.) Heroine's neck-kerchief stolen; (2.) gold apple dropt; (3.) Lost shoe -- Shoe marriage test -- Mutilated foot -- Happy marriage -- Heroine bears two boys; beggar appears to comfort her. He has seen three boys coming from barrow, heard them say their father will get two new-born babes, unless their mother says to him, ""Shame on you, you red 'Put-into-Pot'."" Dog comes, heroine speaks the words; he flies into flints and potsherds. Beggar remains with heroine.",A
41,s41,Ill-treated Heroine (by ugly sister)--Dwarf Aid--Magic Dresses--Meeting-place (church)--Threefold flight--Lost Glove-- Glove marriage test--Happy marriage.,A
42,s42,"Ill-treated heroine (by step Hearth abode--Helpful animal (dog) sweeps for heroine; sends her to lime-tree which gives Magic dresses,[Meeting-place] (church)--Threefold flight--Step-mother has (1) garden-wall, (2) peat-heal), (3) bakehouse demolished, because heroine pretends to have had look out thence--Pitch trap --Lost shoe--Shoe marriage test--Mutilated feet--Animal witness (birds)--Happy marriage.",A
43,s43,"Ill-treated heroine (by step-mother and step-sisters)--Hearth abode--Tasks, to separate pease from boiling water; performed without aid--Help at grave of Dead Mother--Magic dresses-- Meeting-place (wedding) --Lost shoe--Shoe marriage test-- Mutilated feet (step-sisters') --Happy marriage.",A
44,s44,"Heroine persuades widowed father to marry her school-mistress--Ill-treated heroine (by step-mohter)--Help at grave-- Two-eyed step-sister put to sleep by magic formula; two white doves from the altar feed heroine. Three-eyed step-sister spies on heroine; third eye remains awake. Heroine shut up; escapes to grave; mother gives her wooden dress, small box, and Helpful animal (red calf)--Heroine flight on calf through silver, golden, diamond forests; a leaf from each is transformed to magic dresses. They fight and overcome wild men and animals and reach golden castle--Menial heroine (servant)--Water, boots, towel thrown at heroine--Little black dog in box. Helpful animal --meeting-place (church)--Token objects named-- Threefold flight--Pitch trap--Lost shoe -- Shoe marriage test--Happy marriage.",A
45,s45,"Ill-treated heroine (by step-mother)--Menial heroine (tends cattle) --Helpful animal (red calf) Ear cornucopia (green leaf behind ear produces food)--Heroine watched; shut up; escapes--Heroine flight on red calf through [copper], silver, gold forests. Calf fights and twice overcomes another calf because heroine is silent; third time half is killed because heroine speaks. Heroine lays green leaf on stone outside palace as instructed by calf-- Menial heroine (kitchen maid)--Magic dresses from stone--Meeting-place--King throws water, towel, comb at heroine-- Token objects named--Lost shoe (it is stolen by king's order).--Shoe marriage test-- Happy marriage.",A
46,s46,"Ill-treated heroine (by step-mother and step-sister) --Serving- man offers gift from fair; heroine asks for whatever knocks his hat. He brings hazel-twig, which heroine calls her brother, and loses in well. (1) Three lap-dogs from well, (2) four lap-dogs, (3) five lap-dogs give Magic dresses--Meeting-place (church)-- [Threefold flight] --Barn and church-wall pulled down, because heroine has spied thence--Lost shoe, and a flap of cloak-- Shoe marriage test--Mutilated foot--Animal witness (crow)-- Happy marriage.",A
47,s47,Ill-treated heroine (by step-mother)--Hearth abode--Help at grave. Heroine to strike certain tree with white stick and get all she wishes--Magic dresses--Meeting-place (church)-- Three fold flight--Lost shoe--Shoe marriage test--Mutilated feet-- Animal witness (bird) --Happy marriage.,A
48,s48,"Lady wishes to be present at trial, but cannot cross bridge; promises what is carried beneath girdle, and throws bunch of keys into water. She bears son witch claims him; fetches him when grown up sets him tasks, which are performed with aid of witch's daughter. They escape from witch together. Obstacles to pursuit. Boy returns to parents; witch's daughter puts grain of oblivion in his mouth--Meeting-place (church)--Lost shoe-- Boy wants to marry owner of shoe. She is servant in his parents house Shoe marriage test-- Happy marriage.",A
51,s51,"(N.B. Heroine is not ill-treat ed; she prefers Hearth abode and refuses to go to ball with sisters)--Gifts chosen from father; heroine asks for bird Verdelio--Bird aid--Magic dresses-- Meeting-place (ball)--Heroine gives presents to sisters and father--Three-fold flight--(1) Money, (2) sand, thrown at pursuers. Third time heroine has nothing to throw and is tracked home--Lost shoe--Shoe marriage test--Father at first refuses to produce heroine, who is smutty--The jingling of her gold chains mistaken for noise of fire-irons--Happy marriage.",A
54,s54,"White-bearded old man warns cattle-tending maidens, who sit spinning, against dropping spindle into pit. Heroine drops hers, transforming mother into cow. Ill-treated heroine (by step-mother)--Task (spinning) mother help--Spy on heroine--Slaying of helpful animal--Eating taboo--Revivified bones--Help at grave--Menial heroine, called Aschenzuttel-- Task (grain-sorting) --Task-performing animals (white doves)--Magic dresses--Meeting-place (church)--threefold flight-- Lost shoe--Shoe marriage test--Animal witness (cock) reveals heroine under trough--Happy marriage.",A
55,s55,Gifts from father--[Ill-treated heroine]--Hearth abode-- Fairy-godmother aid--Heroine dresses like sisters; fairy wand produces equipage -- Meeting-place (ball)--Twofold flight-- Pitch trap --Lost shoe--Shoe marriage test--Mutilated feet-- Happy marriage.,A
57,s57,Ill-treated heroine (by step-mother)--Menial heroine (tends cattle) -- Fir-tree-lady aid -- Magic dresses -- Meeting-place (church)--Threefold flight --Heroine throws soap and threads to make mist--Pitch trap--Lost shoe--Shoe marriage test-- Heroine hidden on stable-roof--Animal witness (cock)--[Story branches off into another.],A
59,s59,"Ill-treated heroine (by step-mother) --Menial heroine (herds cattle)--Helpful animal (red bull)--Ear cornucopia--Flight of heroine on bull--Copper, silver, gold forests traversed. Spite of warning, heroine breaks twig: bull fights (1) copper-bull; (2) silver bull; (3) is slain by gold bull. Heroine preserves bull's right ear, which will give all she wishes--Menial heroine (kitchen-maid)--Token objects: (1) water, (2) comb, (3) towel--Magic dresses--Meeting-place (church)--Threefold flight--Lost shoe (golden)--Shoe marriage test--Mutilated feet--Animal witness (bird)--Heroine in gold dress, and gold carriage, etc., demands shoe--Happy marriage.",A
60,s60,"Ill-treated heroine (by step-mother)--Good luck will befall anyone passing night in church--Stepsister sent, well supplied with food, which she refuses to share with hen and chickens; is terrified and chastised by apparition--Heroine sent with poor fare, which she shares with hen and chickens; apparition shows her hidden treasure--Shoe marriage test--Shoe is kept in royal family for the purpose-- Mutilated feet-- [Animal witness]. Bird counsels step-sister to cut foot--Happy marriage--Hidden treasure is heroine's dowry.",A
61,s61,"Dying father distributes his property: eldest daughter gets farm; second, cash; youngest daughter, a little dog and lime-tree in garden--Ill-treated heroine (by mother and sisters)--Helpful animal (dog) sweeps floor, cleanses tubs, stirs pot -- Magic dresses from lime-tree; (1) mourning-dress, black coach and horses, (2) white ditto, ditto, (3) yellow dress and equipage, gold ring, diadem and shoes--Meeting-place (church) -- Three-fold flight--Pitch trap (suggested by swineherd whom prince strikes for interference)--Lost shoe (and ring)--Shoe (and ring) marriage tests--Mutilated feet tobacco leaf on wounds--False brides--Animal witness (magpie)--Happy marriage--Lime-tree and dog taken to palace.",A
62,s62,"Ill-treated heroine (by step-mother)--Hearth abode-- Heroine Called ""Askenbasken"" (louse of the ashes)--Gifts for daughters from father: heroine chooses rose-tree and plants it on mother's grave. White dove sits in tree--Tasks (grain-sorting grave--Help at grave--Task-performing animals (white dove and other birds)-- Magic dresses--Meeting-place (ball)--Threefold flight--Heroine wears galoshes over gold shoes--Lost shoe--Shoe marriage test--Mutilated feet (step-sisters')--Animal witness (dove)--Happy marriage--Villain Nemesis: dove pecks out step-sisters' eyes on wedding day.",A
63,s63,"Ill-treated heroine (by step-mother)---Hearth abode-Strange man aid--Heroine promises to give her first, second, and third children to strange man in exchange for Magic dresses--Meeting-place (church)--Threefold flight--Lost shoe--Shoe marriage test--Mutilated feet of stocking--Animal witness (crow)-- Happy marriage--Strange man would claim heroine's children; she repeats words taught her by beggar, who has overheard them; strange man flies into flints-- Beggar rewarded.",A
64,s64,"Ill-treated heroine (by step-mother)--Dead mother help at grave--Tasks (to gather pease from ashes)--Task-performing doves--Magic dresses, from under flagstone in stable--Meeting-place (church)--Twofold flight--Lost shoe--Shoe marriage test--Heroine wears rags over magic dress--Happy marriage.",A
65,s65,Dying father divides inheritance between elder daughters; heroine gets only a white dog--Ill-treated heroine (by elder sisters)--Helpful animal (dog) works for heroine; provides Magic dresses--Meeting-place (church)--Threefold flight-- Lost shoe--Shoe marriage test--Mutilated feet--Animal witness (crows) --Happy marriage.,A
66,s66,Ill-treated heroine (by widowed step-mother); outcast--Old woman aid--Heroine herds sheep for old woman; sits darning rags on hill; prince passes and questions her; she replies as directed by old woman--Heroine receives three grains of linseed as wages; sent to castle--Menial heroine (scullion at castle)-- Magic dresses procured by throwing linseed grains over head-- Meeting-place (church) -- Twofold flight--Lost shoe--Shoe marriage test--Happy marriage.,A
67,s67,"English princess, an orphan, is confined by grandmother in high tower, because of her extreme beauty. Foreign princes try in vain to see her. Spanish prince lodges opposite tower; pro vides himself wings, and visits heroine. Suspicious grandmother sticks needles and awls in window-sill; prince wounded, loses nine drops of blood; returns to Spain in dudgeon--Heroine escapes; journeys to Spain; hears three animals outside king's palace relating how palace may be entered, how magic wishing- rod may be obtained, how sick king may be restored--Menial heroine (scullion at palace); pretends to be halt-witted; puts the nine drops of blood, three at a time, in eel-soup for sick king. He is cured--Heroine carries ewer, towel, and comb to king--Magic dresses--Meeting-place (church)--Token objects named--Threefold flight--Lost boot--Boot marriage test--Heroine appears in English costume; recognition--Happy marriage.",A
68,s68,"Fishing competition to decide priority of heroine (Cam) and step-sister (Tam). Cam's fish stolen by Tam. Genie befriends heroine: bids her put remaining fish in well and feed it--(Slaying of helpful animal)--Step-mother cooks fish-- Helpful animal (cock) asks heroine for three grains of rice; gives her fishbones, which, placed at Genie's bidding at corners of bed, magically pro duce clothes and shoes. (Revivified bones)--Magic dresses-- Lost shoe, carried by crow to prince's palace--Shoe marriage test--Task-performing animals, grain animals (pigeons) sent by Genie--Happy marriage--Villain Nemesis plunges into boiling water, hoping to become beautiful as heroine--Heroine salts flesh and gives it step-mother to eat. Animal witness, crow on tree, reveals cannibalism.",A
69,s69,"Fishing competition to decide priority of Haloek or foster-sister Kajong. Haloek steals heroine's fish. Heroine puts one fish in well; shares her rice with it daily--Heroine tends goats--(Slaying of helpful animal). Haloek cooks and eats fish--Help in dream: fish bids heroine bury its bones at cross-roads-- (Revivified bones)--They turn into gold shoes. Crow carries off one (Lost shoe) and drops it at palace; King finds it. Heroine keeps fellow shoe--Shoe marriage test--Ill-treated heroine (by foster- mother and sister)--Task (to disentangle thread)--Task-performing animals (ants) --Task (grain animals (birds, and various insects)--Heroine goes to palace; is timid, and hides; is brought forth, and shoe fits her--Happy Marriage--Foster begs King to spare bride for a few days; takes her home; ill-treats her-- Haloek makes heroine climb palm to pick cocoa-nuts; cuts palm down, throwing heroine into lake. Heroine transformed into golden turtle--Mother takes Haloek to marry King--King finds gold turtle; pets it-- Haloek cooks and eats turtle, throwing away carapace, which turns into bamboo shoot. King finds it and cares for it -- Haloek eats bamboo. The peel turns into bird, which comes at King's call-- Haloek eats bird. Feathers turn into moekya tree-- Old woman picks up its one fruit and takes it home. Kajong comes out of fruit and provides all kinds of food against old woman's return. Old woman hides, and discovers Kajong, who bids her invite King to feast. King thinks cakes like Kajong's-- She appears before him--They return to palace-- Haloek dismayed, feigns joy--Villain Nemesis--She plunges into boiling water, hoping to become beautiful as heroine. Her flesh is salted and sent to mother, who eats nearly all before finding hand with Haloek's ring.",A
72,s72,"Ill-treated heroine (by step-mother and step-sisters)- --Hearth abode--Tasks (to pick canary seed, shell beans, pick rice)-- Task-performing old woman--Magic dresses (in almond, filbert, walnut)--Meeting-places (church, promenade, ball)--Threefold flight--Lost shoe--Shoe marriage test-- Happy marriage.",A
76,s76,"Ill-treated heroine (by step (1) to shell sack of millet and sack of beans, (2) to cleanse sack of rice--Saint aid---Magic dresses from almond, from nut--Meeting-place, (1) mass, (2) ball---Flight--Lost shoe--Shoe marriage test--Happy marriage.",A
77,s77,"Ill-treated heroine (by step-mother) --Stable abode--Old woman aid--Magic dresses from treasure-tree--Heroine bidden to drink the milk of a certain black cow, to get good complexion. Singing birds sit on her shoulders--Meeting-place (church)-- Threefold flight--Lost shoe--Shoe marriage test--Mutilated foot--False bride--Animal witness (bird)--Happy marriage.",A
